DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BE,2016,34620,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BE,2017,35050,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BE,2018,35510,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BE,2019,36110,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BE,2020,34050,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BE,2021,36260,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BE,2022,37050,p
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BE,2023,37300,p
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2000,2990,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2001,3210,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2002,3420,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2003,3620,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2004,3870,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2005,4170,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2006,4480,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2007,4800,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2008,5120,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2009,4970,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2010,5080,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2011,5320,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2012,5390,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2013,5390,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2014,5470,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2015,5700,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2016,5910,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2017,6120,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2018,6330,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2019,6630,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2020,6400,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2021,6950,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2022,7680,b
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,BG,2023,7850,p
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2000,51950,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2001,52510,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2002,52100,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2003,51700,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2004,52750,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2005,53880,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2006,55730,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2007,57400,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2008,58310,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2009,56340,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2010,57730,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2011,58240,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2012,58290,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2013,58650,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2014,59300,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2015,59540,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2016,60130,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2017,60380,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2018,61660,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2019,61920,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2020,60140,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2021,62920,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2022,63990,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CH,2023,63490,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2000,20130,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2001,20700,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2002,21230,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2003,21520,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2004,22300,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2005,23050,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2006,23740,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2007,24420,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2008,24680,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2009,23550,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2010,23460,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2011,22970,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2012,21840,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2013,20450,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2014,20310,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2015,21120,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2016,22410,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2017,23470,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2018,24500,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2019,25510,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2020,24350,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2021,26520,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2022,27480,p
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CY,2023,27720,p
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2000,11440,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2001,11830,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2002,12040,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2003,12430,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2004,13020,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2005,13810,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2006,14680,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2007,15400,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2008,15640,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2009,14800,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2010,15170,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2011,15470,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2012,15330,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2013,15330,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2014,15670,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2015,16440,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2016,16860,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2017,17720,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2018,18200,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2019,18820,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2020,17900,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2021,18620,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2022,18690,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,CZ,2023,18480,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2000,29410,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2001,29870,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2002,29780,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2003,29630,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2004,30010,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2005,30320,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2006,31550,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2007,32540,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2008,32930,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2009,31210,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2010,32590,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2011,33810,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2012,33910,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2013,33950,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2014,34540,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2015,34810,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2016,35320,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2017,36150,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2018,36440,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2019,36720,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2020,35180,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2021,36460,p
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2022,36690,p
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DE,2023,36290,p
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2000,42220,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2001,42480,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2002,42520,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2003,42600,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2004,43670,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2005,44580,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2006,46120,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2007,46380,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2008,45910,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2009,43390,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2010,43880,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2011,44270,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2012,44110,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2013,44540,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2014,44870,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2015,45500,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2016,46520,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2017,47640,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2018,48290,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2019,48920,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2020,47940,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2021,51260,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2022,51600,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,DK,2023,52510,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,EA19,2000,26600,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,EA19,2001,27080,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,EA19,2002,27180,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,EA19,2003,27230,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,EA19,2004,27710,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,EA19,2005,28040,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,EA19,2006,28830,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,EA19,2007,29540,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,EA19,2008,29520,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,EA19,2009,28120,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,EA19,2010,28650,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,EA19,2011,29080,
ESTAT:SDG_08_10(1.0),23/09/24 23:00:00,A,CLV10_EUR_HAB,B1GQ,EA19,2012,28760,
